SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card,PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
-1.0013614710184966,-0.648039854138358,-0.7050782005835768,-0.7436496109022122,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,No
-1.0013614710184966,0.3085365663849436,1.060414060081997,0.9232567605268007,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,Yes
0.9986403800646417,0.6911671345942642,0.9434089682738752,1.2550777071950507,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,Yes
0.9986403800646417,1.6955723761437307,1.084023396114496,2.4779609154574,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,No
0.9986403800646417,-0.5523822120860278,-0.6227927205879543,-0.6604234113015646,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,Yes
-1.0013614710184966,-0.07409400182437703,1.6249549481532304,0.7994253908787782,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,No
-1.0013614710184966,-0.9350127802953484,0.7420352197613812,-0.52925640745156,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,Yes
-1.0013614710184966,-0.8871839592691833,-1.5150867441691787,-1.0940374090195908,True,True,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,Yes
-1.0013614710184966,-0.45672457003369765,-0.0829027569035951,-0.38590523458798476,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,Yes
-1.0013614710184966,-1.0306704223476786,0.5656595917538864,-0.6650049101786055,False,False,False,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,Yes
0.9986403800646417,1.5520859130652356,-1.155738761909814,-0.011929262252240573,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,Yes
-1.0013614710184966,-1.0306704223476786,1.3895559800644877,-0.4786295358605778,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,No
-1.0013614710184966,0.2607077453587785,0.8767473135938771,0.7541968339646293,True,False,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,No
-1.0013614710184966,-0.1219228228505421,-1.4588409730329301,-0.8430236305449105,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,No
-1.0013614710184966,0.5476806715157689,1.429136337530736,1.4537995664868641,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,Yes
-1.0013614710184966,-1.365472169530834,-0.33739751148921265,-1.090812033810154,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,False,Yes
0.9986403800646417,-1.269814527478504,-0.17039617867109244,-1.0023341274967383,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,No
-1.0013614710184966,-1.5089586326093292,0.9774341878501244,-1.0866075268407094,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,True,No
